LABEL	WARD_NUM	qol	safe	proud	taxvalue	satoverall
WARD 1	1	92	94	92	67	80
WARD 2	2	94	92	93	70	83
WARD 3	3	89	87	83	64	84
WARD 4	4	83	83	83	59	77
WARD 5	5	80	67	77	63	76
WARD 6	6	91	93	91	71	80
WARD 7	7	85	87	94	63	78
WARD 8	8	89	82	85	68	82
WARD 9	9	85	79	82	60	75
WARD 10	10	77	65	69	57	75
WARD 11	11	89	89	90	67	79
WARD 12	12	91	91	89	58	69
WARD 13	13	88	80	86	69	82
WARD 14	14	90	85	92	71	83
